location,type,latitude,longitude
Pearl Harbor (Oahu),Coastal,21.3636,-157.947
Waikiki Beach (Oahu),Coastal,21.276,-157.8223
Diamond Head (Oahu),Coastal,21.2615,-157.8085
Haleakalā National Park (Maui),Rural,20.7069,-156.2543
Nā Pali Coast (Kauai),Coastal,22.2,-159.55
Volcanoes National Park (Big Island),Rural,19.4194,-155.2804
Kilauea Volcano (Big Island),Rural,19.4194,-155.2804
Mauna Kea (Big Island),Rural,19.8206,-155.4681
Iolani Palace (Oahu),City,21.3083,-157.8582
Bishop Museum (Oahu),City,21.3187,-157.8587
Hanauma Bay (Oahu),Coastal,21.2714,-157.6934
Lanikai Beach (Oahu),Coastal,21.3902,-157.6936
Moloka'i (Molokai),Rural,21.1501,-157
Kauai's Waimea Canyon (Kauai),Rural,22.0961,-159.6511
Makapu'u Point (Oahu),Coastal,21.3181,-157.6679
Polynesian Cultural Center (Oahu),Suburban,21.4194,-157.9371
Ala Moana Beach Park (Oahu),Suburban,21.2895,-157.8489
Kailua Beach (Oahu),Coastal,21.3893,-157.7399
Maui Ocean Center (Maui),Suburban,20.8447,-156.4947
Old Lahaina Luau (Maui),Suburban,20.8721,-156.6817
Makena Beach (Maui),Coastal,20.6617,-156.4408
Lava Tree State Park (Big Island),Rural,19.4069,-155.1397
Hāna Highway (Maui),Rural,20.7981,-156.0319
Puna Coast (Big Island),Rural,19.3497,-154.8947
Molokini Crater (Maui),Coastal,20.6406,-156.49
Hawaiian Volcano Observatory (Big Island),Rural,19.4194,-155.2804
Black Sand Beach (Big Island),Coastal,19.2463,-155.8866
Byodo-In Temple (Oahu),Suburban,21.4216,-157.818
Kauai's Na 'Aina Kai Botanical Gardens (Kauai),Rural,22.0647,-159.3917
Pu'uhonua O Honaunau National Historical Park (Big Island),Rural,19.4139,-155.9064
Haleiwa Town (Oahu),Rural,21.5861,-158.1117
Wailua River (Kauai),Coastal,22.0511,-159.3544
Waimea Bay (Oahu),Coastal,21.6075,-158.0841
Kailua-Kona (Big Island),City,19.638,-156.9997
Coco Palms Resort (Kauai),Coastal,22.0903,-159.4989
Lanai (Lanai),Rural,20.7833,-156.9216
Hawaiian Islands Humpback Whale National Marine Sanctuary (Big Island),Coastal,20.0051,-155.9811
Kalaupapa National Historical Park (Molokai),Rural,21.21,-156.9753
Kamehameha I Statue (Oahu),City,21.3071,-157.8582
Kona Coffee Belt (Big Island),Rural,19.6167,-156.1653
Pu'ukohola Heiau National Historic Site (Big Island),Rural,20.0206,-155.8558
Queen Emma Summer Palace (Oahu),Suburban,21.3344,-157.8372
Pali Lookout (Oahu),Rural,21.3942,-157.7597
Maui Tropical Plantation (Maui),Rural,20.6791,-156.3658
Puna District (Big Island),Rural,19.4,-154.945
Coconut Island (Oahu),Coastal,21.3133,-157.8478
Ka'anapali Beach (Maui),Coastal,20.9319,-156.688
Kailua-Kona Pier (Big Island),Coastal,19.6394,-156.9976
Waimea Town (Big Island),Rural,20.0236,-155.6784
Kauai’s Allerton Garden (Kauai),Rural,22.0678,-159.4009
Koko Head (Oahu),Coastal,21.2735,-157.693
Ka Lae (South Point) (Big Island),Coastal,18.911,-155.677
Lyon Arboretum (Oahu),Suburban,21.3284,-157.809
Hilo (Big Island),City,19.7297,-155.09
Hana (Maui),Rural,20.7588,-156.0117
Pololu Valley (Big Island),Rural,20.1914,-155.6195
Waimea Canyon Lookout (Kauai),Rural,22.0933,-159.6558
North Shore (Oahu),Coastal,21.6987,-158.0047
Kaua’i Coffee Company (Kauai),Rural,22.0781,-159.6602
Kaimuki (Oahu),Suburban,21.28,-157.79
Kaimu Black Sand Beach (Big Island),Coastal,19.3497,-155.0569
Shark’s Cove (Oahu),Coastal,21.6344,-157.9311
Kauai's Grand Canyon (Kauai),Rural,22.0781,-159.6886
Hapuna Beach State Park (Big Island),Coastal,20.3389,-155.8014
Lahaina Town (Maui),Suburban,20.8721,-156.6817
Oheo Gulch (Maui),Rural,20.7314,-156.0661
Kealakekua Bay (Big Island),Coastal,19.5069,-155.925
Makapu’u Beach (Oahu),Coastal,21.3169,-157.6619
Waimea Bay (Kauai),Coastal,22.0544,-159.6222
Wailua Falls (Kauai),Coastal,22.0756,-159.4175
Moloka’i Fishponds (Molokai),Coastal,21.1689,-157.087
Mauna Loa (Big Island),Rural,19.475,-155.6
Kaimu Lava Viewing Area (Big Island),Coastal,19.3497,-155.0569
Pu'uhonua o Honaunau (Big Island),Rural,19.4139,-155.9064
Lanai City (Lanai),City,20.7806,-156.9216
Ali'i Drive (Big Island),Coastal,19.638,-156.995
Hala'ula (Kauai),Rural,22.0569,-159.5617
Honolulu Museum of Art (Oahu),City,21.3184,-157.861
The Road to Hana (Maui),Rural,20.7981,-156.0319
Kualoa Ranch (Oahu),Rural,21.4417,-157.8353
Hakalau Forest National Wildlife Refuge (Big Island),Rural,19.7422,-155.1422
Kona Brewery (Big Island),Suburban,19.645,-156.9514
Hāna Bay (Maui),Coastal,20.7869,-155.9994
Puna Lava Flow (Big Island),Rural,19.4,-154.945
